,Accenture_predictions,Adobe_Systems_predictions,Advanced_Micro_Devices_predictions,Akamai_Technologies_predictions,Alliance_Data_Systems_predictions,Amphenol_Corp_predictions,Analog_Devices_predictions,ANSYS_predictions,Apple_predictions,Applied_Materials_predictions,Autodesk_predictions,Automatic_Data_Processing_predictions,Broadcom_predictions,Broadridge_Financial_Solutions_predictions,Cadence_Design_Systems_predictions,Cisco_Systems_predictions,Citrix_Systems_predictions,Cognizant_Technology_Solutions_predictions,Corning_predictions,F5_Networks_predictions,Fidelity_National_Information_Services_predictions,Fiserv_predictions,FleetCor_Technologies_predictions,FLIR_Systems_predictions,Fortinet_predictions,Global_Payments_predictions,HP_predictions,Intel_predictions,International_Business_Machines_predictions,Intuit_predictions,IPG_Photonics_predictions,Jack_Henry_Associates_predictions,Juniper_Networks_predictions,Keysight_Technologies_predictions,KLA_Tencor_Corp_predictions,Lam_Research_predictions,Mastercard_predictions,Microchip_Technology_predictions,Micron_Technology_predictions,Microsoft_predictions,Motorola_Solutions_predictions,NetApp_predictions,Nvidia_Corporation_predictions,Oracle_predictions,Paychex_predictions,QUALCOMM_predictions,Red_Hat_predictions,Salesforce_predictions,Rollins_predictions,Seagate_Technology_predictions,Skyworks_Solution_predictions,Symantec_predictions,Synopsys_predictions,TE_Connectivity_predictions,Texas_Instruments_predictions,Total_System_Services_predictions,Verisign_predictions,Visa_predictions,Western_Digital_predictions,Western_Union_predictions,Xerox_predictions,Xilinx_predictions
10,[115.85958835],[110.88655876],[6.95767184],[58.8785567],[206.34843152],[65.97800742],[63.92650758],[92.39289106],[117.02206459],[29.18360534],[72.27605217],[87.64060026],[176.65512653],[64.63342754],[25.76182262],[30.47465889],[86.2257281],[50.36816612],[23.89513641],[118.73123788],[75.90790463],[100.55921632],[175.73869681],[29.19931428],[31.27498685],[74.12204343],[13.94592682],[35.25900162],[150.53444694],[109.63878466],[83.87108223],[82.34045732],[23.59134379],[10.70110196],[74.55508077],[99.12052638],[102.12749364],[60.67411949],[17.07288289],[60.99882455],[74.50482493],[34.03110943],[70.76434785],[38.25534678],[56.17761805],[67.99585356],[78.33006448],[74.86384015],[28.26396113],[34.42015682],[78.59472222],[24.85153441],[59.43192253],[62.85803467],[71.64061195],[48.28391487],[81.36038225],[82.99568345],[53.41135581],[20.32532762],[9.66091185],[50.33464612]
11,[115.3608216],[108.96411537],[7.56716556],[59.1008055],[203.70405324],[65.09909214],[64.03854782],[91.14115569],[117.61996543],[28.87963835],[71.3718181],[87.48136799],[173.73991934],[65.15922899],[25.55426163],[30.35981023],[84.93483861],[50.56461321],[22.96369593],[117.35781847],[75.64745876],[99.77441497],[172.90587693],[29.37995903],[30.64265001],[73.33604327],[13.88841494],[35.05937124],[150.73061649],[108.27730075],[84.37525646],[81.72881905],[23.69882505],[10.68116525],[74.8897884],[98.21094421],[101.82640161],[60.89601457],[17.57150394],[61.00449343],[74.2041604],[34.00058044],[72.22774345],[38.347575],[55.85936856],[67.58191593],[77.33669636],[74.91850128],[28.12964424],[34.30565413],[78.11566075],[24.97113651],[58.77648272],[61.85500703],[71.12419911],[48.19235679],[79.86273124],[81.84523147],[53.68213256],[20.35132018],[9.60516034],[50.33280581]
12,[115.56067909],[108.07829069],[7.29006656],[67.701772],[202.5652755],[65.50773623],[63.45415316],[91.04333457],[114.93795342],[28.87157143],[70.68803158],[87.24164042],[173.2841415],[64.55491518],[25.56887512],[30.57068852],[83.99592592],[50.80207101],[23.00774986],[119.47157525],[75.2447246],[100.09164093],[171.78569931],[32.50122122],[30.18031856],[73.7072961],[13.8746214],[34.93637707],[151.83959532],[107.86942982],[84.94083943],[80.60180453],[26.02540454],[10.51993559],[75.23446095],[97.87404574],[102.17345816],[60.56456585],[17.62552477],[60.58116608],[73.57676333],[33.99305734],[72.39103207],[38.32194377],[55.5933191],[68.15278467],[77.01440856],[74.92152036],[30.0236045],[34.80382835],[77.68173167],[24.98885884],[58.55379186],[62.84832205],[71.7194565],[50.91944705],[79.35185114],[81.51689093],[56.57532397],[19.80132018],[9.64153907],[50.276867]
13,[115.51191366],[106.96053834],[7.08589293],[69.09954447],[202.35431378],[65.32206265],[63.29125335],[90.85406991],[113.81848098],[28.86173364],[70.56245365],[86.70959217],[172.32900988],[63.93181456],[25.38306454],[30.35979624],[83.58216218],[51.19139232],[22.88550267],[130.50569753],[74.15610161],[96.88128473],[173.6877022],[32.31169658],[29.93787084],[72.36532155],[13.97241419],[34.81968789],[153.170232],[107.28373139],[94.45426954],[79.59207806],[26.12080036],[10.39480304],[74.71579133],[96.7810734],[102.55707147],[60.39167642],[17.50973301],[59.98982547],[73.41131848],[33.79698687],[70.97573557],[38.22566217],[55.23451196],[70.04760506],[76.9929072],[74.77664891],[30.65530427],[34.19153378],[77.28083128],[24.91558242],[58.33094267],[62.10294175],[70.71937207],[50.00281895],[80.88634022],[81.75299448],[59.92111599],[19.91016281],[9.57705242],[50.35732399]
14,[115.72997868],[107.70600876],[7.19848766],[69.88658106],[203.90344893],[65.46831754],[63.57566462],[91.42750031],[113.11254224],[28.67164112],[71.87785074],[87.13021059],[169.81006622],[64.07538796],[25.42335157],[30.6440926],[84.46184776],[51.48706883],[22.67024417],[134.56024378],[74.52864729],[98.43896321],[173.99900217],[32.59939855],[31.8067609],[72.71390622],[14.07119422],[34.7547851],[152.47820711],[108.32291627],[96.60932364],[80.17671836],[26.2182461],[10.46921002],[74.68370341],[96.31618511],[105.86556209],[60.30417274],[17.17106717],[59.86034761],[72.7840958],[33.74650391],[70.68581937],[38.16402649],[55.06535542],[68.16529719],[77.14098433],[75.13979987],[30.58788112],[34.09098339],[75.89039857],[24.87250541],[58.47387382],[62.38007861],[70.83397835],[50.17065914],[84.55775126],[81.98142416],[59.16107969],[19.9257017],[9.81004517],[50.24373478]
15,[116.29723985],[107.77326512],[7.23377364],[69.36359133],[204.23225426],[65.91339435],[64.10539148],[91.36723139],[112.95587043],[29.10220327],[72.34632903],[87.06284106],[170.5806299],[64.695091],[25.60002513],[30.65398865],[84.74297101],[51.26888039],[22.75055881],[138.12270103],[74.03141125],[98.529737],[175.46555204],[32.9114195],[32.19134582],[72.490037],[14.46537919],[34.86938861],[153.69175787],[108.82780441],[97.61473347],[81.00590927],[26.33908699],[10.5053125],[75.11943855],[96.95341861],[106.03178556],[60.57113588],[17.16392895],[59.97866418],[72.59260281],[33.9166263],[71.2763997],[38.40764155],[55.1992531],[68.90360396],[77.49333073],[75.16879957],[30.74693998],[34.34092676],[77.0977065],[25.02701014],[59.25751204],[62.89422697],[70.92068783],[50.05442045],[83.84834582],[82.32347384],[58.3774995],[20.10820447],[9.76766855],[50.89761301]
16,[116.16826008],[107.10100381],[7.09568659],[68.30864793],[201.70841043],[65.96011104],[63.61681288],[89.95171092],[110.85272159],[28.91436586],[70.123711],[86.94874364],[169.0760906],[64.21217514],[25.19408072],[30.53648773],[84.97664543],[51.41604563],[22.57090892],[136.62572016],[76.83138375],[98.71275296],[172.91322278],[32.78472639],[31.730092],[71.86369557],[14.3384665],[34.53955984],[152.60795396],[107.39900314],[94.8716265],[80.70323323],[25.75201627],[10.48217878],[73.93415557],[96.17101085],[103.91700736],[60.20277427],[16.96094448],[59.86991271],[72.32171343],[33.09156373],[69.0572413],[38.45079762],[54.29062192],[68.12833665],[76.64747367],[75.43567041],[30.45082496],[33.57597955],[75.85722208],[25.21077928],[58.47218994],[63.32418504],[69.51518368],[49.29982948],[83.22417685],[81.44964021],[57.23016526],[19.73074354],[9.52592917],[50.89434299]
17,[118.65809834],[105.98038929],[6.76077915],[67.28588501],[200.05881812],[65.05666961],[63.65925881],[89.53578858],[110.9597944],[28.60474149],[68.66145832],[89.89211082],[172.82048496],[64.07645301],[24.80738742],[30.3800873],[83.94339861],[51.32951536],[22.46517241],[135.21776187],[74.96765277],[98.69259338],[151.3894623],[32.71008187],[31.0437925],[70.60339988],[14.62222428],[34.6068525],[152.0388523],[106.20916908],[93.80032548],[80.49154591],[25.20418483],[10.37888291],[74.75706978],[95.8998825],[102.90865082],[59.88729],[16.65266821],[59.49239416],[71.56904813],[32.44130383],[68.67030018],[38.05469568],[54.33577151],[67.16487371],[74.73134532],[75.05002799],[30.64043117],[32.55052582],[75.25102671],[25.22173988],[57.94266516],[62.93400116],[69.00908211],[48.80072867],[81.03220312],[80.37977119],[54.90789152],[19.91765691],[9.51879481],[50.10698947]
18,[116.91264902],[107.25888141],[6.69721765],[66.57513329],[199.99450824],[64.89140214],[63.87282611],[83.63220163],[109.20795589],[28.26170946],[67.49333992],[89.24308515],[173.01942519],[64.11890967],[24.80493539],[30.32232722],[83.55501968],[51.58630612],[22.33653086],[137.71706038],[75.0923666],[98.17256007],[147.86375479],[32.14093523],[30.78347461],[70.5245715],[14.54635051],[33.96631662],[152.29544853],[105.62723773],[93.58091785],[80.2703867],[24.93061238],[10.46933071],[74.66596293],[95.31678851],[102.68687929],[59.65912375],[16.61806812],[59.25625726],[71.28577904],[32.40557055],[68.01403683],[38.31131098],[53.80005861],[67.09764189],[74.83303208],[74.28502268],[30.50166493],[33.09982214],[74.65905944],[25.42584702],[57.65547962],[62.38185415],[68.01643535],[48.59089288],[80.70594753],[80.44213266],[55.02877783],[19.76873106],[9.35889154],[50.75674787]
19,[117.32937767],[106.247827],[6.57606841],[65.84482811],[199.67253374],[64.87363459],[63.47631059],[83.66813981],[108.22409866],[28.22499106],[69.46098656],[89.13401882],[172.39892219],[64.08234161],[24.97107155],[30.2146041],[83.34019413],[51.99428204],[22.39476682],[135.93535471],[75.23491688],[98.01223158],[151.40920103],[31.93435768],[30.92054005],[70.89595892],[14.68383999],[33.63491809],[152.39820211],[105.40355846],[93.92395141],[80.43402626],[24.89083062],[10.52820226],[74.58952603],[95.0951494],[102.01069544],[60.24722778],[16.6809478],[58.74800159],[76.07421604],[30.40801693],[67.44739717],[38.25889296],[53.6941069],[66.73219013],[74.52031518],[74.48370527],[30.36503662],[32.93970805],[75.27441617],[23.61341144],[57.79609381],[62.62018977],[67.74499204],[48.96814392],[79.75008575],[80.15975991],[55.02583262],[19.66332785],[9.17904829],[49.76626841]
20,[119.90598229],[108.97265974],[6.96646288],[66.53965792],[203.47107598],[66.53859181],[64.33274167],[86.12058528],[109.78508723],[29.37207686],[72.12668901],[90.55961567],[176.80365507],[65.20517146],[25.48962463],[30.93029202],[85.40066845],[54.65621685],[22.99273651],[136.54657454],[76.56998073],[99.56035586],[147.9521038],[32.23393],[31.50239904],[71.8977582],[15.04142167],[34.63939468],[155.70687833],[108.14728192],[96.20817701],[81.60958028],[25.49517994],[10.85335333],[75.50449374],[98.53671923],[104.9603922],[62.2752701],[17.42577968],[60.49457434],[78.00607824],[32.03031109],[71.22153395],[39.05951433],[54.42242821],[68.60922135],[76.76484683],[76.16751372],[30.73825682],[34.7344654],[77.28637893],[24.36104626],[58.96069995],[64.81152921],[69.13746987],[49.34068371],[81.86471072],[82.25148439],[57.71844398],[20.34603208],[9.29279135],[51.30008784]
21,[119.74435127],[108.34366504],[7.03803946],[66.43989684],[201.39435284],[66.72153854],[64.83182807],[87.03533412],[110.46002565],[29.54770776],[72.81752892],[90.95723668],[177.02925859],[65.68582643],[25.4667646],[31.00301333],[85.15847263],[54.77530719],[23.19036151],[137.69443648],[76.53448642],[100.17532481],[150.04913361],[32.34714662],[31.38265994],[72.60340734],[15.26210695],[34.73577569],[154.86738889],[108.36554654],[94.62073573],[83.71224712],[25.52755024],[10.66718398],[75.54534697],[99.1966817],[104.72947661],[63.99018075],[17.38250025],[60.50720273],[78.7983624],[32.37601009],[71.38489741],[39.1030672],[54.24072499],[68.10757922],[76.67678039],[76.37907513],[30.8361581],[34.53242379],[77.29684986],[24.75891159],[59.30338622],[65.43043067],[69.8392964],[49.67558829],[81.31845521],[82.75080325],[57.38785256],[20.39355911],[9.2687243],[51.71983171]
22,[117.37783019],[107.9711957],[6.91978084],[66.54314407],[207.17905031],[67.32453184],[64.93326653],[88.12926175],[110.22640915],[29.15009244],[72.71836529],[90.9416029],[173.72314386],[62.29330661],[25.07114615],[31.43198267],[85.91421685],[52.94303944],[23.2559442],[140.3426642],[76.82869956],[100.52749997],[150.49996569],[33.53084117],[31.73284014],[72.76546769],[15.54900822],[34.74999609],[154.86191928],[109.44318591],[97.02285987],[83.80917087],[25.319715],[11.7558725],[75.50991574],[97.97471809],[105.16853268],[64.30516014],[17.17185216],[60.20909546],[78.81865648],[33.16393274],[70.0251777],[39.52569151],[55.20046757],[67.91849322],[76.72944945],[75.8755272],[31.27412367],[34.70721596],[77.66816334],[24.81870372],[59.08322533],[66.02111255],[69.79334815],[50.58620581],[82.06750295],[82.99822068],[57.29709919],[19.89474403],[9.47915361],[51.82621572]
23,[120.36527372],[103.96932884],[6.29500277],[66.21499144],[209.55203513],[66.38801153],[64.25888329],[87.37673222],[107.10854284],[28.14715653],[73.54945427],[91.41334535],[168.13713636],[60.81960997],[24.83182115],[30.9567516],[86.78876602],[53.67427413],[23.20893791],[139.88995965],[76.95788944],[99.81087941],[146.33089148],[34.22022151],[31.41595775],[70.84642745],[15.48793538],[34.52496557],[160.07469129],[109.08532226],[94.45533729],[83.54703214],[25.19929695],[11.81814122],[74.48016485],[95.94451342],[103.47174434],[62.36931945],[16.97497387],[58.68714162],[78.95721964],[33.57674036],[67.92380453],[39.5509754],[55.97849961],[66.19230159],[76.99131134],[73.91482319],[31.14415373],[36.34701036],[75.85440874],[25.00731891],[58.52766319],[66.78852289],[69.13482325],[49.83671546],[81.05482445],[81.75923004],[56.95321776],[19.92923146],[9.56651304],[50.9410896]
24,[118.96900843],[103.66095383],[6.66166534],[65.47227308],[211.7937901],[66.61060577],[65.29528426],[88.79172584],[107.80245444],[28.85487377],[73.83397257],[91.02843373],[167.9671219],[60.63864448],[25.33520546],[31.43652462],[85.50282969],[53.87945961],[23.38757337],[141.1287035],[76.37533623],[100.55416595],[143.59761237],[34.6716383],[31.83916209],[69.48322711],[15.80716756],[34.65152697],[160.98068052],[111.45087766],[95.3303755],[84.38259433],[25.36522089],[12.56090736],[75.50838811],[97.60384701],[103.53248446],[63.18438009],[17.73295506],[59.01839463],[80.38183225],[33.83009881],[85.38782688],[39.43498818],[56.79079098],[67.01601062],[77.06948746],[74.76630594],[30.94305987],[37.23527576],[74.74188953],[24.97420337],[59.58546834],[66.88421224],[69.84512744],[49.35411477],[81.5168798],[81.61455237],[58.83923989],[20.40633346],[9.50497058],[51.65758895]
25,[117.54011004],[102.48117993],[6.85494446],[65.43570704],[210.77344609],[66.58032575],[66.42292803],[90.62067288],[105.10681247],[29.01269915],[73.58615192],[91.86346335],[164.33751226],[60.7547837],[25.53481724],[31.33624824],[83.7717546],[53.9455696],[23.49517535],[141.91620201],[75.34005815],[100.17186766],[143.28155779],[35.48835892],[31.68475821],[66.61398413],[16.10236648],[34.49620673],[158.20792974],[109.87703947],[93.94044907],[84.77838249],[25.9305],[12.4183624],[75.4848866],[98.6584086],[100.11961468],[63.54694252],[17.68443764],[58.17710562],[80.63498962],[34.91962345],[83.13641333],[39.30565279],[56.31576225],[65.86221806],[75.46515655],[73.03109704],[30.95324559],[38.05648771],[74.17880914],[24.64380595],[59.89707157],[66.73289759],[70.00574232],[48.83491996],[78.83247002],[78.2789675],[59.64185501],[20.58342511],[9.52253011],[52.83495791]
26,[116.16614504],[104.1245211],[6.92842194],[65.52274758],[210.39107203],[67.09987318],[68.07359896],[91.20057396],[106.51246077],[29.64410151],[75.25056613],[92.31701435],[167.01010455],[61.14591804],[25.476219],[31.7831217],[86.12947635],[54.06003104],[23.66916097],[143.50565237],[74.92137232],[101.56528057],[145.03755824],[35.22030407],[32.15020867],[68.28441071],[15.85511454],[34.90242931],[158.64396905],[110.99965308],[94.74377405],[84.76844009],[26.10156552],[12.65084252],[77.80122736],[101.11956824],[101.41651901],[65.21476789],[18.12209322],[58.97323085],[81.89331571],[34.88205461],[84.44008163],[39.17016199],[55.69653394],[66.99683651],[76.90632125],[74.0743291],[31.2328391],[38.58392493],[76.1514646],[24.26003821],[60.12577561],[67.26115224],[71.05053275],[49.27193446],[78.85679643],[78.24588543],[59.56770442],[20.5708004],[9.58065201],[53.91067102]
27,[117.2407448],[104.46434585],[7.69064056],[65.94761687],[210.73475024],[67.77521975],[67.78238144],[92.72311611],[109.36876561],[30.03340824],[77.7038634],[93.21801579],[168.00702031],[62.83184192],[25.82901346],[31.53910852],[86.4638105],[55.25000951],[23.68934557],[142.74261797],[75.26116544],[103.14411899],[145.9703725],[35.21150081],[32.57528463],[70.03574521],[15.78569414],[34.84598148],[159.22415073],[110.77979389],[94.99744536],[85.09827363],[26.24643571],[13.14631239],[77.63193786],[101.18554894],[103.02545834],[65.66637723],[18.23636545],[59.74708846],[80.45229883],[34.78793004],[95.40799961],[39.68164139],[55.73261689],[66.19732969],[78.77344169],[73.4267161],[31.41767269],[38.19741233],[76.14736123],[23.95754445],[60.64592567],[66.80030141],[71.17832863],[49.95158792],[79.68603669],[79.94327881],[59.60847432],[20.53006171],[9.54698762],[53.5915031]
